序号,工厂,车型,物料号,MTOC,车辆等级描述,外色描述,计划日期,每日顺序,阶段,订单类型,操作类型,生产订单号,生产订单号-ERP,订单状态,天窗,主车型代码,内饰描述,电池特征
31701,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,267,SOP,order1,op1,PR030930,EPR030930,排序,整体式全景天窗,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
31702,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,268,SOP,order1,op1,PR030931,EPR030931,排序,整体式全景天窗,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
31703,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,269,SOP,order1,op1,PR030932,EPR030932,排序,整体式全景天窗,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
31704,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,270,SOP,order1,op1,PR030933,EPR030933,排序,整体式全景天窗,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
31705,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,271,SOP,order1,op1,PR030934,EPR030934,排序,整体式全景天窗,CX39,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
31706,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,272,SOP,order1,op1,PR030935,EPR030935,排序,整体式全景天窗,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
31707,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,273,SOP,order1,op1,PR030936,EPR030936,排序,整体式全景天窗,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
31708,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,274,SOP,order1,op1,PR030937,EPR030937,排序,整体式全景天窗,CX39,新元气空间,厂商C+厂商B 69.9kWh+165kW（新）
31709,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,275,SOP,order1,op1,PR030938,EPR030938,排序,整体式全景天窗,CX39,新元气空间,厂商C+厂商B 69.9kWh+165kW（新）
31710,Factory1,K2,WL0240,M0281,标配七座版,自由灰,2022-10-11,276,SOP,order1,op1,PR030939,EPR030939,排序,整体式全景天窗,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
