序号,工厂,车型,物料号,MTOC,车辆等级描述,外色描述,计划日期,每日顺序,阶段,订单类型,操作类型,生产订单号,生产订单号-ERP,订单状态,天窗,主车型代码,内饰描述,电池特征
5203,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,920,SOP,order1,op1,PR005138,EPR005138,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5204,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,921,SOP,order1,op1,PR005139,EPR005139,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5205,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,922,SOP,order1,op1,PR005140,EPR005140,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5206,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,923,SOP,order1,op1,PR005141,EPR005141,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5207,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,924,SOP,order1,op1,PR005142,EPR005142,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5208,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,925,SOP,order1,op1,PR005143,EPR005143,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5209,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,926,SOP,order1,op1,PR005144,EPR005144,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5210,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,927,SOP,order1,op1,PR005145,EPR005145,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5211,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,928,SOP,order1,op1,PR005146,EPR005146,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5212,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,929,SOP,order1,op1,PR005147,EPR005147,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5213,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,930,SOP,order1,op1,PR005148,EPR005148,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5214,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,931,SOP,order1,op1,PR005149,EPR005149,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5215,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,932,SOP,order1,op1,PR005150,EPR005150,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5216,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,933,SOP,order1,op1,PR005151,EPR005151,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5217,Factory1,K2,WL0067,M0081,次中配,极地白,2022-09-06,934,SOP,order1,op1,PR005152,EPR005152,排序,天幕,CX22,新橙灰蜃影,厂商C+厂商B 69.9kWh+165kW（新）
5218,Factory1,K2,WL0031,M0042,次中配,极地白,2022-09-06,935,SOP,order1,op1,PR005153,EPR005153,排序,天幕,CX22,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
5219,Factory1,K2,WL0031,M0042,次中配,极地白,2022-09-06,936,SOP,order1,op1,PR005154,EPR005154,排序,天幕,CX22,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
5220,Factory1,K2,WL0031,M0042,次中配,极地白,2022-09-06,937,SOP,order1,op1,PR005155,EPR005155,排序,天幕,CX22,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
5221,Factory1,K2,WL0031,M0042,次中配,极地白,2022-09-06,938,SOP,order1,op1,PR005156,EPR005156,排序,天幕,CX22,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
5222,Factory1,K2,WL0031,M0042,次中配,极地白,2022-09-06,939,SOP,order1,op1,PR005157,EPR005157,排序,天幕,CX22,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
5163,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,880,SOP,order1,op1,PR005098,EPR005098,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5164,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,881,SOP,order1,op1,PR005099,EPR005099,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5165,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,882,SOP,order1,op1,PR005100,EPR005100,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5166,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,883,SOP,order1,op1,PR005101,EPR005101,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5167,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,884,SOP,order1,op1,PR005102,EPR005102,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5168,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,885,SOP,order1,op1,PR005103,EPR005103,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5169,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,886,SOP,order1,op1,PR005104,EPR005104,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5170,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,887,SOP,order1,op1,PR005105,EPR005105,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5171,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,888,SOP,order1,op1,PR005106,EPR005106,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5172,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,889,SOP,order1,op1,PR005107,EPR005107,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
5173,Factory1,K2,WL0037,M0048,次中配,烟雨青,2022-09-06,890,SOP,order1,op1,PR005108,EPR005108,排序,天幕,CX22,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
