序号,工厂,车型,物料号,MTOC,车辆等级描述,外色描述,计划日期,每日顺序,阶段,订单类型,操作类型,生产订单号,生产订单号-ERP,订单状态,天窗,主车型代码,内饰描述,电池特征
11753,Factory1,K2,WL0134,M0153,标配七座版,烟雨青,2022-09-15,1,SOP,order1,op1,PR011573,EPR011573,排序,天幕,CX39,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
11754,Factory1,K2,WL0134,M0153,标配七座版,烟雨青,2022-09-15,2,SOP,order1,op1,PR011574,EPR011574,排序,天幕,CX39,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
11755,Factory1,K2,WL0134,M0153,标配七座版,烟雨青,2022-09-15,3,SOP,order1,op1,PR011575,EPR011575,排序,天幕,CX39,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
11756,Factory1,K2,WL0134,M0153,标配七座版,烟雨青,2022-09-15,4,SOP,order1,op1,PR011576,EPR011576,排序,天幕,CX39,本草纲目,厂商C+厂商B 69.9kWh+165kW（新）
11757,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,5,SOP,order1,op1,PR011577,EPR011577,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11758,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,6,SOP,order1,op1,PR011578,EPR011578,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11759,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,7,SOP,order1,op1,PR011579,EPR011579,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11760,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,8,SOP,order1,op1,PR011580,EPR011580,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11761,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,9,SOP,order1,op1,PR011581,EPR011581,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11762,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,10,SOP,order1,op1,PR011582,EPR011582,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11763,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,11,SOP,order1,op1,PR011583,EPR011583,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11764,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,12,SOP,order1,op1,PR011584,EPR011584,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11765,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,13,SOP,order1,op1,PR011585,EPR011585,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11766,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,14,SOP,order1,op1,PR011586,EPR011586,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11767,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,15,SOP,order1,op1,PR011587,EPR011587,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11768,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,16,SOP,order1,op1,PR011588,EPR011588,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11769,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,17,SOP,order1,op1,PR011589,EPR011589,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11770,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,18,SOP,order1,op1,PR011590,EPR011590,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11771,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,19,SOP,order1,op1,PR011591,EPR011591,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11772,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,20,SOP,order1,op1,PR011592,EPR011592,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11773,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,21,SOP,order1,op1,PR011593,EPR011593,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11774,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,22,SOP,order1,op1,PR011594,EPR011594,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11775,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,23,SOP,order1,op1,PR011595,EPR011595,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11776,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,24,SOP,order1,op1,PR011596,EPR011596,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11777,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,25,SOP,order1,op1,PR011597,EPR011597,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11778,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,26,SOP,order1,op1,PR011598,EPR011598,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11779,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,27,SOP,order1,op1,PR011599,EPR011599,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11780,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,28,SOP,order1,op1,PR011600,EPR011600,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11781,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,29,SOP,order1,op1,PR011601,EPR011601,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11782,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,30,SOP,order1,op1,PR011602,EPR011602,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11783,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,31,SOP,order1,op1,PR011603,EPR011603,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11784,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,32,SOP,order1,op1,PR011604,EPR011604,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11785,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,33,SOP,order1,op1,PR011605,EPR011605,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11786,Factory1,K2,WL0130,M0149,标配七座版,全息银,2022-09-15,34,SOP,order1,op1,PR011606,EPR011606,排序,天幕,CX39,新角逐之夜,厂商C+厂商B 69.9kWh+165kW（新）
11788,Factory1,K3,WL0003,M0004,次高配,极速银-Y,2022-09-15,36,SOP,order1,op1,PR011607,EPR011607,排序,天幕,CX04,灰黄街头,厂商A 218Ah（610）+厂商B76.8kWh+135kW
11789,Factory1,K3,WL0003,M0004,次高配,极速银-Y,2022-09-15,37,SOP,order1,op1,PR011608,EPR011608,排序,天幕,CX04,灰黄街头,厂商A 218Ah（610）+厂商B76.8kWh+135kW
11790,Factory1,K3,WL0003,M0004,次高配,极速银-Y,2022-09-15,38,SOP,order1,op1,PR011609,EPR011609,排序,天幕,CX04,灰黄街头,厂商A 218Ah（610）+厂商B76.8kWh+135kW
11791,Factory1,K3,WL0003,M0004,次高配,极速银-Y,2022-09-15,39,SOP,order1,op1,PR011610,EPR011610,排序,天幕,CX04,灰黄街头,厂商A 218Ah（610）+厂商B76.8kWh+135kW
11792,Factory1,K3,WL0003,M0004,次高配,极速银-Y,2022-09-15,40,SOP,order1,op1,PR011611,EPR011611,排序,天幕,CX04,灰黄街头,厂商A 218Ah（610）+厂商B76.8kWh+135kW
11793,Factory1,K3,WL0003,M0004,次高配,极速银-Y,2022-09-15,41,SOP,order1,op1,PR011612,EPR011612,排序,天幕,CX04,清新马卡龙,厂商A 218Ah（610）+厂商B76.8kWh+135kW
11794,Factory1,K3,WL0003,M0004,次高配,极速银-Y,2022-09-15,42,SOP,order1,op1,PR011613,EPR011613,排序,天幕,CX04,灰黄街头,厂商A 218Ah（610）+厂商B76.8kWh+135kW
11795,Factory1,K3,WL0003,M0129,次高配,极速银-Y,2022-09-15,43,SOP,order1,op1,PR011614,EPR011614,排序,天幕,CX37,灰黄街头,厂商D LFP 174Ah（500）+厂商B64.6kWh+135kW
